initials,date,course_id,time (m),summary
HW,1/10/22,DS160,5,Setting up github repository and excel spreadsheet
HW,1/10/22,SPAN212,20,Reflexive verbs homework
HW,1/11/22,DS160,49,Read Chapter 2 & notes
HW,1/12/22,PSYC240,24,Read some of Chapter 3
HW,1/13/22,SPAN212,5,Speaking homework
HW,1/13/22,ANTH215,15,Read chapter 1 part 1
HW,1/13/22,PSYC240,20,Class activity 1: Methods
HW,1/17/22,SPAN212,15,Online reading & homework
HW,1/18/22,DS160,17,Part of chpt.3 & notes
HW,1/18/22,DS160,9,Read up to 3.3 & notes
HW,1/18/22,ANTH215,49,Finish chapter 1
HW,1/22/22,DS160,32,Finish reading chapter 3 & notes
HW,1/22/22,ANTH215,35,Read Chpt. 2 to page 43
HW,1/23/22,PSYC240,35,Class activity 2: The neuron
HW,1/23/22,SPAN212,5,Comprehension questions
HW,1/23/22,ANTH215,10,Note-taking
HW,1/24/22,SPAN212,6,Spanish poem
HW,1/24/22,PSYC240,70,Read chapter 1
HW,1/25/22,DS160,32,Chapter 5 & notes
HW,1/28/22,SPAN212,11,Online homework assignment
HW,1/30/22,ANTH215,30,Chpt. 3 to page 68
HW,2/3/22,DS160,36,Work on project 2
HW,2/6/22,DS160,90,Work on project 2
HW,2/7/22,DS160,35,Project 2
HW,2/7/22,DS160,45,Project 2
HW,2/8/22,DS160,32,Project 2
HW,2/9/22,DS160,20,Project 3
HW,2/10/22,DS160,60,Project 3
HW,2/10/22,SPAN212,38,Spanish VHL homework
HW,2/13/22,SPAN212,20,Spanish VHL homework
HW,2/14/22,ANTH215,38,Study for exam 1
HW,2/14/22,PSYC240,30,Study for exam 1
HW,2/14/22,PSYC240,20,Neurotransmitters Assignment
HW,2/15/22,ANTH215,120,Study for exam 1
HW,2/16/22,ANTH215,60,Study for exam 1
HW,2/16/22,PSYC240,40,Study for exam 1
HW,2/18/22,SPAN212,30,Online homework & forum
HW,2/21/22,SPAN212,24,Online homework
HW,2/22/22,DS160,60,Exploratory Analysis Essay
